ensemblID	GSE45827	GSE86374	TCGA
ENSG00000001461	1.012295	0	0
ENSG00000004534	4.0498415	0	0
ENSG00000005100	0.7452936	-0.1557599	-0.2122128679313408
ENSG00000005483	1.5552897	-0.4372332	-0.1513683276116531
ENSG00000005812	0.7667738	0.242733	-0.34154812130723317
ENSG00000006695	-0.4013811	-0.289113	0.20476946333987067
ENSG00000006744	-0.3753266	0	-0.09436020739375693
ENSG00000007168	1.9543725	0	-0.20895298671890655
ENSG00000007202	0.940465	0.2667681	-0.0983650207471942
ENSG00000007520	-0.8870348	0.5075176	0.27829584365748805
ENSG00000010256	0	0.4774055	0.09866574390108532
ENSG00000010322	-1.160747	0	-0.3331022673035265
ENSG00000011021	0	-0.3317783	-0.7719036634946774
ENSG00000011258	0.7883053	-0.2356931	-0.06987512363896077
ENSG00000011260	0.7658893	0.3280284	0.6071400623616344
ENSG00000011275	0	0	0.15850896581431992
ENSG00000011295	0	0	0.13827985791121508
ENSG00000011376	0.7740295	0.4651929	0.6761218599956408
ENSG00000013375	1.6008191	0.4326812	0.3300300595406212
ENSG00000013392	0	0.5370186	0
ENSG00000015532	-0.6818924	0.2783692	0.34823278989015144
ENSG00000015676	-0.7938	0.300198	0.3749981833440866
ENSG00000016864	1.2255034	0.2558171	0.181532127362045
ENSG00000024048	1.2547178	0	0.19736920162767918
ENSG00000025800	0.4696298	0	0.17361751066671136
ENSG00000029725	3.2013294	0.800165	0.796803715585857
ENSG00000031698	0	0.4823627	0.12595504094812507
ENSG00000032742	0	0.2765795	1.0337851489330405
ENSG00000033050	2.4188947	0.1635514	0.1276299614869521
ENSG00000034693	-1.1583313	-0.1900802	-0.12041108919365012
ENSG00000035928	0.8103907	0	0
ENSG00000037637	0	0	0.08291918616108566
ENSG00000038219	1.0545816	-0.216644	-0.2533382448745944
ENSG00000040531	0	0	-0.19740948333803868
ENSG00000040633	1.5239339	0.6691517	0.16175651936794128
ENSG00000042317	0.4711379	-0.2077123	-0.10889078661005235
ENSG00000042429	2.3452685	0	-0.17067331357470458
ENSG00000042753	1.0954013	0.6553092	0.5225533012022848
ENSG00000044090	0	0.1574941	0.16433177614902134
ENSG00000046651	-0.5703269	0	0.14880228288784664
ENSG00000047249	1.3269895	0.6568887	0.8476615504353155
ENSG00000048405	0	-0.3496088	0.32648593722759844
ENSG00000049541	1.1562094	0.2696725	0.4717530450399154
ENSG00000049656	0.8811546	0.7149202	0.35777910598461704
ENSG00000050820	-0.2154178	0	0.12282042085060536
ENSG00000052723	0.9417929	0	-0.21867828643334924
ENSG00000053371	1.132228	0	0.15994010413611537
ENSG00000053372	0.4547518	0	-0.07088185713287952
ENSG00000054611	-1.1537733	0	0.14777035393870802
ENSG00000054793	-0.6247452	0	-0.19626854921724135
ENSG00000054967	0	0.2018991	0.4873199512188681
ENSG00000055070	1.2865404	0.2247827	0
ENSG00000055130	1.5060966	-0.1437929	0.17520479409825723
ENSG00000055147	1.4258527	0.5250385	0.4517844868265393
ENSG00000055609	2.2730683	-0.3999883	0.12322715528620108
ENSG00000056736	1.1625906	0.7141448	0.3897711911599061
ENSG00000057608	4.291198	0	0.23926467069759386
ENSG00000057663	3.5347725	0	0.13901518952014832
ENSG00000057757	-0.4570382	0	-0.2435862721499374
ENSG00000058600	1.3350574	0	0.4970171388409606
ENSG00000060762	0	0	-0.6363277333142858
ENSG00000062194	0.3636108	-0.1854117	0.2292152056192062
ENSG00000063046	2.2276211	-0.5906398	-0.516311725072893
ENSG00000063245	-1.0832236	0.1357672	0.4927148056000817
ENSG00000063322	1.5095883	0.1720771	0.23846810396390816
ENSG00000063978	0.7793059	0	0.4959340402491895
ENSG00000064102	0.7253514	0.1748671	0.4580670556683173
ENSG00000064419	-0.5665692	0	0.42043117019184884
ENSG00000064703	1.3695055	0	0
ENSG00000064999	0	-0.2741829	-0.1425064974524786
ENSG00000065057	0	0.4137364	0.44668882575036506
ENSG00000065135	2.9732553	0.5368233	0.38612401793206624
ENSG00000065427	-1.1804429	0	-0.5754459036380548
ENSG00000065457	0.5019185	0	0
ENSG00000065526	1.9569328	-0.2716055	-0.369730548119565
ENSG00000065559	1.7553168	0.2698306	0.5940775429175488
ENSG00000065883	0.7808665	-0.2679791	0.48445286880342464
ENSG00000065970	-0.569078	-0.2318894	-0.3561641190017786
ENSG00000066279	-0.3302254	1.1028511	2.5678645982782298
ENSG00000066336	0	0.2919474	0.2301700668005058
ENSG00000066926	2.0449375	0.3213157	0.18103087082821512
ENSG00000067064	0.5757523	0	-0.15905113782358363
ENSG00000067248	0.996259	0.2232384	0.569132999277971
ENSG00000067369	0.873663	0.3012351	0.5753971506916706
ENSG00000067560	4.6145587	0.1318126	0.11099945090245894
ENSG00000067596	1.3869082	0.272778	0.2609094965832657
ENSG00000067900	1.5881822	0	-0.1617290601138002
ENSG00000068024	-0.5142607	0	-0.5965207818656758
ENSG00000068028	0	0	-0.3578618256654914
ENSG00000068097	0	0	0.5228955356884148
ENSG00000068383	-0.4668947	-0.1876466	-0.10547197546820392
ENSG00000068394	0	0.2439651	0.2189591362890246
ENSG00000068745	1.0637228	0	0
ENSG00000069248	0.7083627	0.3773151	0.4692825576354327
ENSG00000069345	1.0617588	0.3546203	-0.31409230600651833
ENSG00000070047	-0.5031477	0.4050696	0.28633763578761684
ENSG00000070366	-1.048725	-0.2436311	-0.06677005302298665
ENSG00000070367	2.1604896	0.3102226	0.07147502295480976
ENSG00000070413	-0.593892	0.2081112	0.2591890249736091
ENSG00000070423	1.4926031	0	-0.08623197912588179
ENSG00000070444	-0.5277914	0	-0.15580528802498195
ENSG00000070718	1.2086967	0.3623396	0.38251541011139223
ENSG00000070761	0	-0.3916749	-0.6035174694283739
ENSG00000070770	-1.427482	-0.7348461	-0.6585879320887733
ENSG00000070831	2.6520859	0	0.33424814543287534
ENSG00000071189	2.4112311	0	0.25353845287346694
ENSG00000071462	0.39714699999999997	0.2724767	0.4332920970217692
ENSG00000071994	0.8003048	0	-0.21384163551938754
ENSG00000072134	1.7555744	-0.1767201	0.37370992246582774
ENSG00000072518	1.3423675	0.2036072	0.6390023195180917
ENSG00000072571	1.313526	0.8876003	2.162864845726342
ENSG00000072778	-1.0821166	-0.2914853	-0.7749762852440092
ENSG00000072803	0.7360345	0	0.1444520910988324
ENSG00000072840	0.6270371	0	-0.19840329506935844
ENSG00000072849	0.4383123	0.1887169	0
ENSG00000073050	0	0	0.4751380365218462
ENSG00000073169	-0.9261463	-0.2115618	0
ENSG00000073536	-1.1437107	0	-0.47047397714391137
ENSG00000073614	1.6172342	0.3293771	0.11285153627214131
ENSG00000073969	1.0988625	0.7095724	1.3860634367961726
ENSG00000074071	0.4035621	0.3639707	0.9849017167017626
ENSG00000074201	-1.1996738	-0.27980120000000003	0.6903365555667941
ENSG00000074219	-0.3369185	0	-0.5025456471234394
ENSG00000074266	1.792173	-0.3627324	0
ENSG00000074319	1.0866066	0.250123	0.4506869695496751
ENSG00000074356	0	0	-0.19997126755216132
ENSG00000074603	1.1150378	0	-0.12454112097186257
ENSG00000074755	-0.3549479	-0.1772228	-0.14406614914253763
ENSG00000074935	0.7695394	-0.3140067	-0.6011064315416711
ENSG00000075188	0.9330345	0.4922224	0.3606062321311578
ENSG00000075218	-0.567059	0.380354	1.714381480020492
ENSG00000075240	-0.3197407	0.3567775	0.35944481289243835
ENSG00000075336	0.8400223	0.3373013	-0.2875482578182834
ENSG00000075914	-4.2309016	0	0.216427647590143
ENSG00000076043	1.0417466	0.4170018	-0.4496070199433995
ENSG00000076053	-1.1923991	-0.2867014	-0.8349699914237143
ENSG00000076201	0	0	0.2607005752164667
ENSG00000076351	0	0.2118829	-0.12626718717282703
ENSG00000076924	-0.7242936	0	0
ENSG00000076944	0.6752952	0.9233822	1.2076485225245426
ENSG00000077147	3.2341066	0	-0.27975432292019503
ENSG00000077235	1.2902647	0.5080688	1.0022581748149217
ENSG00000077254	0.7630969	0.3295513	-0.1637212685808815
ENSG00000077458	0	0	-0.22483014285505407
ENSG00000077463	-0.2301555	0.0836171	0.2536516407489426
ENSG00000077549	2.35709	0.5585932	0.5352934098343668
ENSG00000077721	1.9566755	0	0.16666994052306228
ENSG00000078043	0	0.2262506	0.48054096178342515
ENSG00000078061	-0.1661979	0.3013147	0
ENSG00000078140	1.5192915	0	0.5040926831878667
ENSG00000078142	-0.6774451	-0.3350329	0.20616513940006637
ENSG00000078246	0.4432149	-0.4819585	-0.3007339932474308
ENSG00000078304	3.1938267	-0.1561668	0.12640873661175211
ENSG00000078369	3.1143835	0.1267903	0.2633728169853637
ENSG00000078668	1.6482815	0	0.20140623955183498
ENSG00000078808	2.2510162	0.4247163	0.12374396293610666
ENSG00000078902	0.5362755	0.2958923	0.24839988039243363
ENSG00000079134	0	0	0.3387057372343281
ENSG00000079313	-0.5500911	0	-0.06874643426313427
ENSG00000079459	-0.5374959	0	-0.18341986791426712
ENSG00000079616	1.2706916	0.5286231	0.8893350136307003
ENSG00000079974	1.304734	-0.189312	0.19131463331996734
ENSG00000080603	0	0	0.4724446299189932
ENSG00000080608	NA	NA	NA
ENSG00000080802	0	-0.4585804	0.26714348054065257
ENSG00000080815	3.8937706	0	0.48377160792284035
ENSG00000080986	0.9188195	0.6984127	1.9093872137766494
ENSG00000081019	2.9017102	-0.182477	0
ENSG00000081087	0.9148242	0.2366015	-0.2349052108457875
ENSG00000081177	1.0688525	0.3078803	0.3351960372703142
ENSG00000081870	1.184202	0.1857797	0.548241145785893
ENSG00000081913	-1.3579827	-0.2998855	-0.4049383480444167
