ensembl	adj_p	p	t	B	logfc	entrez_id
ENSG00000160145	1.18e-17	3.54e-22	-13.017135	39.811036	-0.9527094	8997
ENSG00000198947	7.29e-17	4.38e-21	-12.457115	37.373382	-2.2392674	1756
ENSG00000198838	2.84e-16	2.56e-20	-12.068433	35.6604	-1.0124844	6263
ENSG00000176532	5.2e-16	7.81e-20	11.824307	34.576185	1.1451548	222171
ENSG00000184384	7.76e-16	1.4e-19	-11.697157	34.009062	-1.7568308	84441
ENSG00000154678	1.96e-15	4.5e-19	-11.443591	32.87337	-1.4819667	5137
ENSG00000077264	1.96e-15	4.71e-19	-11.433481	32.82796	-1.5943488	5063
ENSG00000081041	6.12e-15	1.66e-18	-11.162125	31.60575	-2.1463116	2920
ENSG00000046653	6.54e-15	1.96e-18	-11.125239	31.439113	-1.9083931	2824
ENSG00000146648	1.27e-14	4.56e-18	-10.944131	30.619312999999998	-1.6894092	1956
ENSG00000182175	1.3e-14	5.07e-18	-10.921256	30.51558	-0.7812115	56963
ENSG00000178385	1.53e-14	6.44e-18	-10.870142	30.283643	-0.7465895	389072
ENSG00000285005	1.53e-14	6.44e-18	-10.870142	30.283643	-0.7465895	389072
ENSG00000165197	2.18e-14	9.81e-18	-10.779864	29.873509	-2.8224746	2277
ENSG00000123500	2.74e-14	1.33e-17	10.714605	29.57666	2.505678	1300
ENSG00000284182	2.74e-14	1.45e-17	-10.69595	29.491747	-1.6940677	406935
ENSG00000143545	2.74e-14	1.48e-17	10.69147	29.471354	0.8111809	5872
ENSG00000187824	2.8e-14	1.6e-17	-10.67537	29.398045	-0.9082274	388335
ENSG00000156515	3.89e-14	2.34e-17	10.594027	29.02739	0.6129647	3098
ENSG00000076944	4.76e-14	3.4e-17	10.514428	28.664253	0.9233822	6813
ENSG00000119771	4.76e-14	3.41e-17	-10.513295	28.659079	-0.7592089	114818
ENSG00000152580	4.76e-14	3.57e-17	-10.503484	28.61429	-1.9281839	285313
ENSG00000116711	5.1e-14	3.98e-17	-10.48038	28.508794	-1.1273386	5321
ENSG00000108821	5.71e-14	4.63e-17	10.448207	28.361835	2.20475	1277
ENSG00000143367	6.72e-14	5.65e-17	10.405829	28.168156	1.4838134	7286
ENSG00000106537	7.92e-14	6.9e-17	10.363236	27.973394	1.3672801	27075
ENSG00000185043	1.01e-13	9.43e-17	10.296807	27.66942	0.7886392	10519
ENSG00000241015	1.04e-13	1.01e-16	10.282126	27.602205	0.7459735	147804
ENSG00000143543	1.06e-13	1.09e-16	10.265106	27.524268	0.720347	10899
ENSG00000134138	1.12e-13	1.21e-16	-10.243535	27.425472	-1.0834872	4212
ENSG00000118495	1.22e-13	1.35e-16	-10.219701	27.316277	-1.398038	5325
ENSG00000154856	1.69e-13	1.94e-16	-10.143002	26.964691	-1.3631841	147495
ENSG00000243649	1.69e-13	2.02e-16	10.134763	26.926903	1.9961762	629
ENSG00000241534	1.69e-13	2.02e-16	10.134763	26.926903	1.9961762	629
ENSG00000241253	1.69e-13	2.02e-16	10.134763	26.926903	1.9961762	629
ENSG00000242335	1.69e-13	2.02e-16	10.134763	26.926903	1.9961762	629
ENSG00000243570	1.69e-13	2.02e-16	10.134763	26.926903	1.9961762	629
ENSG00000239754	1.69e-13	2.02e-16	10.134763	26.926903	1.9961762	629
ENSG00000204359	1.69e-13	2.02e-16	10.134763	26.926903	1.9961762	629
ENSG00000148143	1.69e-13	2.03e-16	-10.13421	26.924368	-1.297174	58499
ENSG00000147862	1.92e-13	2.42e-16	-10.096429	26.751051	-1.8087196	4781
ENSG00000115414	1.96e-13	2.53e-16	10.086526	26.705613	1.7258369	2335
ENSG00000264522	2.23e-13	2.95e-16	10.054531	26.558772	0.9643045	56957
ENSG00000165186	2.33e-13	3.15e-16	-10.040091	26.492484	-1.4437116	139411
ENSG00000154529	2.55e-13	3.61e-16	-10.011703	26.362141	-1.9086197	728577
ENSG00000106714	2.55e-13	3.61e-16	-10.011703	26.362141	-1.9086197	79937
ENSG00000132031	2.61e-13	3.76e-16	10.00286	26.32153	1.5680673	4148
ENSG00000167191	2.64e-13	3.88e-16	-9.995956	26.289822	-1.2186123	51704
ENSG00000078098	2.71e-13	4.07e-16	9.986151	26.244788	2.0196883	2191
ENSG00000276365	2.71e-13	4.2e-16	-9.979514	26.214301	-3.2328535	406937
ENSG00000125869	3.11e-13	4.95e-16	9.944293	26.052484	1.6718775	24141
ENSG00000167614	3.17e-13	5.14e-16	-9.936428	26.016345	-0.6256199	57348
ENSG00000276537	3.17e-13	5.14e-16	-9.936428	26.016345	-0.6256199	57348
ENSG00000276887	3.17e-13	5.14e-16	-9.936428	26.016345	-0.6256199	57348
ENSG00000275650	3.17e-13	5.14e-16	-9.936428	26.016345	-0.6256199	57348
ENSG00000165795	3.47e-13	5.73e-16	-9.913256	25.909847	-1.4874541	57447
ENSG00000104332	4.02e-13	7.01e-16	-9.870635	25.713915	-2.6754675	6422
ENSG00000173320	4.25e-13	7.53e-16	-9.85545	25.644088	-0.6693152	56977
ENSG00000152154	4.73e-13	8.77e-16	-9.823091	25.495263	-0.7547263	130733
ENSG00000197576	4.73e-13	8.79e-16	-9.822672	25.493339	-0.8774618	3201
ENSG00000196549	4.73e-13	8.8e-16	-9.822353	25.491871	-1.9274822	4311
ENSG00000135046	4.8e-13	9.08e-16	-9.815732	25.461416	-1.5172941	301
ENSG00000163382	4.95e-13	9.51e-16	9.805926	25.416306	0.8929069	128240
ENSG00000149923	4.97e-13	9.75e-16	9.80066	25.392078	0.8598291	5531
ENSG00000112473	4.97e-13	1.02e-15	9.79218	25.353067	1.1306564	7922
ENSG00000229802	4.97e-13	1.02e-15	9.79218	25.353067	1.1306564	7922
ENSG00000224399	4.97e-13	1.02e-15	9.79218	25.353067	1.1306564	7922
ENSG00000206288	4.97e-13	1.02e-15	9.79218	25.353067	1.1306564	7922
ENSG00000226614	4.97e-13	1.02e-15	9.79218	25.353067	1.1306564	7922
ENSG00000227402	4.97e-13	1.02e-15	9.79218	25.353067	1.1306564	7922
