ensembl	adj_p	p	t	B	logfc	entrez_id
ENSG00000140600	1.2e-22	4.01e-27	-26.3	51.100771	-6.3430579	6457
ENSG00000135250	1.37e-20	1.37e-24	22.6	45.610264	3.8895469	6733
ENSG00000204385	6.64e-20	8.89e-24	21.5	43.829364	5.8506839	80736
ENSG00000232180	6.64e-20	8.89e-24	21.5	43.829364	5.8506839	80736
ENSG00000235336	6.64e-20	8.89e-24	21.5	43.829364	5.8506839	80736
ENSG00000231479	6.64e-20	8.89e-24	21.5	43.829364	5.8506839	80736
ENSG00000206378	6.64e-20	8.89e-24	21.5	43.829364	5.8506839	80736
ENSG00000228263	6.64e-20	8.89e-24	21.5	43.829364	5.8506839	80736
ENSG00000229077	6.64e-20	8.89e-24	21.5	43.829364	5.8506839	80736
ENSG00000203463	6.64e-20	8.89e-24	21.5	43.829364	5.8506839	80736
ENSG00000215146	2.29e-19	3.83e-23	-20.7	42.428158	-5.3855643	441666
ENSG00000172014	1.72e-18	3.57e-22	-19.4	40.278811	-4.9447556	728747
ENSG00000183148	1.72e-18	3.57e-22	-19.4	40.278811	-4.9447556	441430
ENSG00000276203	1.72e-18	3.57e-22	-19.4	40.278811	-4.9447556	441425
ENSG00000260691	1.72e-18	3.57e-22	-19.4	40.278811	-4.9447556	84210
ENSG00000175895	1.72e-18	4.48e-22	19.3	40.058884	4.9842024	79666
ENSG00000038427	1.72e-18	4.61e-22	19.3	40.030289	7.451328	1462
ENSG00000145284	2.44e-18	8.98e-22	-19	39.385096	-3.9069022	79966
ENSG00000104413	4.98e-18	2e-21	18.6	38.609283	4.7158383	54845
ENSG00000197045	5.09e-18	2.22e-21	18.5	38.509409	3.9251841	2764
ENSG00000123500	1.54e-17	8.23e-21	17.8	37.233702	8.6416566	1300
ENSG00000111799	1.99e-17	1.13e-20	17.7	36.92408	7.2005029	1303
ENSG00000092820	2.18e-17	1.39e-20	17.6	36.725544	5.3879842	7430
ENSG00000137573	3.49e-17	2.34e-20	17.3	36.214969	5.9441309	23213
ENSG00000114573	3.67e-17	2.62e-20	17.3	36.105454	4.8691674	523
ENSG00000186994	3.67e-17	2.75e-20	-17.3	36.055969	-2.7142395	256949
ENSG00000074696	3.67e-17	2.83e-20	17.2	36.029624	5.4702156	51495
ENSG00000113810	4.55e-17	3.66e-20	17.1	35.778918	4.7503845	10051
ENSG00000170276	4.68e-17	3.92e-20	-17.1	35.71146	-3.4290466	3316
ENSG00000131724	6.24e-17	5.43e-20	16.9	35.391885	4.2197237	3597
ENSG00000076554	1.07e-16	1.04e-19	16.6	34.756034	6.281576	7163
ENSG00000158486	1.08e-16	1.09e-19	-16.6	34.714413	-2.9132229	55567
ENSG00000160307	1.53e-16	1.59e-19	-16.4	34.339787	-5.5601559	6285
ENSG00000182831	1.86e-16	2.03e-19	16.3	34.103887	3.3554011	29035
ENSG00000129514	1.86e-16	2.07e-19	16.3	34.080963	3.8222454	3169
ENSG00000124615	1.86e-16	2.12e-19	-16.3	34.060495	-2.7779066	4337
ENSG00000167641	2.17e-16	2.54e-19	-16.2	33.883338	-4.7570429	94274
ENSG00000138685	2.32e-16	2.8e-19	-16.2	33.786774	-2.3412441	2247
ENSG00000122707	2.36e-16	2.93e-19	-16.1	33.743668	-2.4718031	8434
ENSG00000105538	2.36e-16	3e-19	-16.1	33.720409	-2.9985476	54922
ENSG00000113712	2.69e-16	3.52e-19	16.1	33.562937	4.3833997	1452
ENSG00000182263	3.24e-16	4.43e-19	-16	33.337647	-3.4280537	55137
